,Date,Denomination,Mint,Obverse,Reverse,Obverse_URL,Reverse_URL
6129,AD 101,As,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M TR P: Head of Trajan, laureate, right","COS III DES IIII P P S C: Victory, draped, advancing left, holding shield inscribed SPQR in right hand and palm in left",http://numismatics.org/collectionimages/19501999/1995/1995.11.487.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1995/1995.11.487.rev.width175.jpg
6132,AD 101 - AD 102,Dupondius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, radiate, right","TR POT COS III P P S C: Abundantia seated left on chair with crossed cornucopiae, holding sceptre in right hand","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185406/record_DE-MUS-062622_kenom_185406_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185406/record_DE-MUS-062622_kenom_185406_rs.jpg/full/120,/0/default.jpg"
6133,AD 101 - AD 102,Dupondius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Bust of Trajan, radiate, right with aegis","TR POT COS III P P S C: Abundantia seated left on chair with crossed cornucopiae, holding sceptre in right hand","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_127908/record_DE-MUS-062622_kenom_127908_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_127908/record_DE-MUS-062622_kenom_127908_rs.jpg/full/120,/0/default.jpg"
6134,AD 101 - AD 102,Sestertius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, laureate, right","TR POT COS III P P S C: Concordia, draped, seated left on chair without back, sacrificing with patera in right hand over lighted altar left, and holding double cornucopiae in left hand","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185407/record_DE-MUS-062622_kenom_185407_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185407/record_DE-MUS-062622_kenom_185407_rs.jpg/full/120,/0/default.jpg"
6135,AD 101 - AD 102,Sestertius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Bust of Trajan, laureate, right with aegis","TR POT COS III P P S C: Concordia, draped, seated left on chair without back, sacrificing with patera in right hand over lighted altar left, and holding double cornucopiae in left hand",http://numismatics.org/collectionimages/19501999/1988/1988.5.27.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1988/1988.5.27.rev.width175.jpg
6136,AD 101 - AD 102,Sestertius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, laureate, right","TR POT COS III P P S C: Pax, draped, seated left on throne, holding branch in extended right hand and transverse sceptre in left","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_128707/record_DE-MUS-062622_kenom_128707_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_128707/record_DE-MUS-062622_kenom_128707_rs.jpg/full/120,/0/default.jpg"
6138,AD 101 - AD 102,As,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, laureate, right","TR POT COS III P P S C: Victory, draped, advancing left, holding shield inscribed SPQR in right hand","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185408/record_DE-MUS-062622_kenom_185408_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185408/record_DE-MUS-062622_kenom_185408_rs.jpg/full/120,/0/default.jpg"
6139,AD 101 - AD 102,As,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Bust of Trajan, laureate, draped, right","TR POT COS III P P S C: Victory, draped, advancing left, holding shield inscribed SPQR in right hand","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_128703/record_DE-MUS-062622_kenom_128703_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_128703/record_DE-MUS-062622_kenom_128703_rs.jpg/full/120,/0/default.jpg"
6140,AD 101 - AD 102,As,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, laureate, right","TR POT COS III P P S C: Victory, standing front, head left, holding wreath in right hand and palm in left",http://numismatics.org/collectionimages/19001949/1944/1944.100.44699.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.44699.rev.width175.jpg
6150,AD 102,Sestertius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M TR P VI: Head of Trajan, laureate, right","IMP IIII COS IIII DES V P P S C: Pax, draped, seated left on throne, holding branch in extended right hand and transverse sceptre in left","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_129237/record_DE-MUS-062622_kenom_129237_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_129237/record_DE-MUS-062622_kenom_129237_rs.jpg/full/120,/0/default.jpg"
6154,AD 103,Sestertius,Rome,"IMP CAES NERVA TRAIAN AVG GERM DACICVS P M: Bust of Trajan, laureate, right (sometimes with aegis)","COS V CONGIAR SECVND S C: Trajan, togate, seated left on platform on right, on lower platform in front of him, an officer is inscribing a tessera to give to citizen on left, holding out fold of toga to receive it; in the background, a tripod and Liberalitas, standing left, holding up an abacus","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_161908/record_DE-MUS-062622_kenom_161908_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_161908/record_DE-MUS-062622_kenom_161908_rs.jpg/full/120,/0/default.jpg"
